instances,best_algorithms,spt_flow,lpt_flow,mst_flow,best_flow
inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn,MST,7,0,7,7
inst_set1a_sf0.5_nc1.5_n20_m10_01.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.5_n20_m10_02.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.5_n20_m10_03.dzn,MST,1,0,1,1
inst_set1a_sf0.5_nc1.5_n20_m10_04.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.5_n20_m10_05.dzn,MST,0,0,2,2
inst_set1a_sf0.5_nc1.5_n20_m13_00.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.5_n20_m13_01.dzn,MST,0,0,3,3
inst_set1a_sf0.5_nc1.5_n20_m13_02.dzn,SPT,1,0,0,1
inst_set1a_sf0.5_nc1.5_n20_m13_03.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.5_n20_m13_04.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.5_n20_m13_05.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.5_n20_m15_00.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.5_n20_m15_01.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.5_n20_m15_02.dzn,SPT,4,0,0,4
inst_set1a_sf0.5_nc1.5_n20_m15_03.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.5_n20_m15_04.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.5_n20_m15_05.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.8_n20_m10_00.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.8_n20_m10_01.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.8_n20_m10_02.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.8_n20_m10_03.dzn,LPT,0,4,0,4
inst_set1a_sf0.5_nc1.8_n20_m10_04.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.8_n20_m10_05.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.8_n20_m13_00.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.8_n20_m13_01.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.8_n20_m13_02.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.8_n20_m13_03.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.8_n20_m13_04.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.8_n20_m13_05.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.8_n20_m15_00.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.8_n20_m15_01.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.8_n20_m15_02.dzn,MST,0,0,4,4
inst_set1a_sf0.5_nc1.8_n20_m15_03.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.8_n20_m15_04.dzn,MST,0,0,0,0
inst_set1a_sf0.5_nc1.8_n20_m15_05.dzn,MST,0,0,0,0
